Pitch,Unquantized,4b Linear
1,13922,13921
1.1,12656,12656
1.2,11601,11601
1.3,10709,10709
1.4,9944,9944
1.5,9281,9281
1.6,8701,8701
1.7,8189,8189
1.8,7734,7734
1.9,7327,7327
2,6961,6961
2.1,6630,6630
2.2,6328,6328
2.3,6053,6053
2.4,5801,5801
2.5,5569,5569
2.6,5355,5355
2.7,5156,5156
2.8,4972,4972
2.9,4801,4801
3,4641,4641
3.1,4491,4491
3.2,4351,4351
3.3,4219,4219
3.4,4095,4095
3.5,3978,3978
3.6,3867,3867
3.7,3763,3763
3.8,3664,3664
3.9,3570,3570
4,3481,3481
4.1,3396,3396
4.2,3315,3315
4.3,3235,3238
4.4,3164,3164
4.5,3094,3094
