Pitch,Elements
1,13922
1.1,12656
1.2,11601
1.3,10709
1.4,9944
1.5,9281
1.6,8701
1.7,8189
1.8,7734
1.9,7327
2.0,6961
2.1,6630
2.2,6328
2.3,6053
2.4,5801
2.5,5569
2.6,5355
2.7,5156
2.8,4972
2.9,4801
3.0,4641
3.1,4491
3.2,4351
3.3,4219
3.4,4095
3.5,3978
3.6,3867
3.7,3763
3.8,3664
3.9,3570
4.0,3481
4.1,3396
4.2,3315
4.3,3235
4.4,3164
4.5,3094
4.6,3027
4.7,2962
4.8,2901
4.9,2842
5.0,2785
5.1,2730
5.2,2678
5.3,2627
5.4,2578
5.5,2532
5.6,2486
5.7,2443
5.8,2401
5.9,2360
6.0,2321
6.1,2283
6.2,2246
6.3,2210
6.4,2176
6.5,2142
6.6,2110
6.7,2078
